X,Y
-117.381895,47.68244
-122.469844,48.73957
-122.317553,47.536894
-76.053831,36.824305
-76.034675,36.843912
-76.002579,36.819811
-76.07632,36.829787
-75.991296,36.842341
-76.012221,36.838373
-76.007027,36.8427
-76.059562,36.818567
-76.052975,36.826364
-75.99839,36.838585
-76.07684,36.82203
-76.005009,36.842682
-76.004999,36.84277
-76.057821,36.818068
-76.059366,36.817467
-77.089773,38.844142
-77.0955,38.84651
-77.091044,38.844629
-77.091044,38.844629
-76.426468,37.075177
-76.383665,37.077788
-76.427755,37.067405
-77.09262,38.884784
-77.09256,38.884704
-76.383665,37.077788
-76.40266,37.011326
-76.386944,37.011005
-76.363661,37.023429
-76.208007,36.631696
-76.347914,37.046064
-76.23857,36.78836
-76.248499,36.7832
-76.242559,36.781194
-76.241254,36.782707
-76.244514,36.790616
-76.241624,36.783206
-76.177115,36.905617
-76.192244,36.921556
-76.181382,36.897099
-76.179495,36.902902
-76.145615,36.895062
-76.162428,36.842669
-76.147743,36.856678
-76.145175,36.871039
-76.111374,36.8387
-76.10681,36.840104
-76.136357,36.864041
-76.09555,36.834641
-76.13614,36.87101
-76.136931,36.871761
-76.40266,37.011326
-76.386944,37.011005
-76.43672,37.01928
-76.436726,37.018649
-76.23857,36.78836
-76.248499,36.7832
-76.242559,36.781194
-76.241254,36.782707
-76.244514,36.790616
-76.241624,36.783206
-76.240295,36.731204
-76.19423,36.77928
-76.194026,36.779025
-76.24044,36.767328
-76.238422,36.773164
-78.462007,38.023091
-77.094028,38.884257
-77.049513,38.817108
-77.049314,38.816306
-77.44191,37.555422
-77.438728,37.514679
-77.430419,37.517466
-77.430168,37.518024
-77.438728,37.514679
-77.438728,37.514679
-76.269455,36.82452
-76.263099,36.8035
-76.268466,36.825367
-76.283919,36.81433
-76.26587,36.78613
-76.259495,36.771452
-76.26814,36.78555
-76.265178,36.787088
-76.265049,36.779603
-76.289956,36.78649
-76.290391,36.78647
-76.266402,36.778899
-76.29957,36.742712
-78.496299,38.0559
-77.459912,37.50226
-77.482505,37.57632
-76.208007,36.631696
-76.23074,36.687031
-76.259495,36.771452
-76.240295,36.731204
-76.24044,36.767328
-76.238422,36.773164
-77.482798,37.471209
-78.480743,38.032432
-78.479086,38.030052
-77.452646,37.522693
-77.094028,38.884257
-77.429172,37.532517
-77.433236,37.53479
-77.433145,37.534736
-76.23074,36.687031
-76.426468,37.075177
-76.427755,37.067405
-77.0955,38.84651
-77.438737,37.543157
-77.051255,38.811412
-77.049513,38.817108
-77.049314,38.816306
-77.114462,38.803989
-77.12941,38.806881
-77.089773,38.844142
-77.0955,38.84651
-77.091044,38.844629
-77.091044,38.844629
-77.051298,38.827799
-77.051419,38.828706
-77.051422,38.828704
-77.049513,38.817108
-77.049314,38.816306
-76.318985,37.02081
-76.320669,37.023287
-76.330105,36.795591
-76.331202,36.796134
-76.364126,36.776757
-76.373449,36.777603
-76.372456,36.777375
-76.363899,36.787
-76.334441,36.77243
-77.459912,37.50226
-77.44191,37.555422
-77.072692,38.805107
-77.072929,38.805179
-77.072681,38.805327
-77.433236,37.53479
-77.433145,37.534736
-76.363661,37.023429
-77.069327,38.89495
-98.601289,29.522354
-98.612412,29.541584
-98.601168,29.525633
-98.600957,29.521886
-77.459912,37.50226
-76.177115,36.905617
-76.192244,36.921556
-76.179495,36.902902
-78.496299,38.0559
-77.069327,38.89495
-77.114462,38.803989
-76.456751,36.816958
-76.380834,36.802588
-76.424676,36.822943
-77.072692,38.805107
-98.516881,29.412251
-77.051298,38.827799
-77.051255,38.811412
-77.051419,38.828706
-77.051422,38.828704
-76.364126,36.776757
-76.373449,36.777603
-76.372456,36.777375
-78.486798,38.014099
-78.456846,38.038266
-76.240295,36.731204
-76.23074,36.687031
-78.480743,38.032432
-98.462655,29.548705
-77.452646,37.522693
-77.455699,37.5671
-77.482798,37.471209
-77.432912,37.501251
-76.111374,36.8387
-76.10681,36.840104
-76.09555,36.834641
-111.978683,40.758309
-111.939065,40.761845
-111.939106,40.760933
-111.911099,40.749088
-111.906148,40.7737
-111.853899,40.764533
-111.912307,40.790733
-111.912308,40.790734
-111.912273,40.790749
-111.910591,40.785795
-111.920729,40.809998
-111.92045,40.814816
-111.91498,40.803658
-111.853999,40.7055
-111.908199,40.7594
-111.905399,40.744338
-111.911099,40.749088
-111.911099,40.738875
-111.891899,40.751998
-111.891053,40.743276
-111.892198,40.751423
-111.908199,40.7594
-111.899699,40.767201
-111.89841,40.765
-111.90575,40.76716
-111.898511,40.764215
-111.905399,40.744338
-111.911099,40.749088
